id,title,authors,year,venue,search_strings,v1_decision,v1_reason,v2_decision,v2_reason
79,Assessing ChatGPT’s Code Generation Capabilities with Short vs Long Context Programming Problems,"Shuvo, Uddip Acharjee; Dip, Sajib Acharjee; Vaskar, Nirvar Roy; Al Islam, A. B. M. Alim",2024,"Proceedings of the 11th International Conference on Networking, Systems, and Security",String A,EXCLUDE,"EC-O - Đánh giá khả năng giải bài tập lập trình (Code generation), không tập trung vào unit test generation",x,
80,Assessing and Advancing Benchmarks for Evaluating Large Language Models in Software Engineering Tasks,"Hu, Xing; Niu, Feifei; Chen, Junkai; Zhou, Xin; Zhang, Junwei; He, Junda; Xia, Xin; Lo, David",2025,ACM Transactions on Software Engineering and Methodology,"String A, String B, String C",EXCLUDE,"EC-N - Bài tổng quan về các benchmarks trong SE, không có thực nghiệm sinh unit test",x,
81,Assessing the Robustness of Test Selection Methods for Deep Neural Networks,"Hu, Qiang; Guo, Yuejun; Xie, Xiaofei; Cordy, Maxime; Ma, Wei; Papadakis, Mike; Ma, Lei; Le Traon, Yves",2025,ACM Transactions on Software Engineering and Methodology,String B,EXCLUDE,EC-O - Đánh giá phương pháp chọn test case cho mạng nơ-ron sâu,x,
82,AutoBench: Automatic Testbench Generation and Evaluation Using LLMs for HDL Design,"Qiu, Ruidi; Zhang, Grace Li; Drechsler, Rolf; Schlichtmann, Ulf; Li, Bing",2024,Proceedings of the 2024 ACM/IEEE International Symposium on Machine Learning for CAD,"String A, String B",EXCLUDE,EC-O - Sinh testbench cho thiết kế mạch điện HDL,x,
83,AutoCodeRover: Autonomous Program Improvement,"Zhang, Yuntong; Ruan, Haifeng; Fan, Zhiyu; Roychoudhury, Abhik",2024,Proceedings of the 33rd ACM SIGSOFT International Symposium on Software Testing and Analysis,String A,EXCLUDE,EC-O - Tự động giải quyết các vấn đề (Issues) trên GitHub,x,
84,AutoConsis: Automatic GUI-driven Data Inconsistency Detection of Mobile Apps,"Hu, Yongxiang; Jin, Hailiang; Wang, Xuan; Gu, Jiazhen; Guo, Shiyu; Chen, Chaoyi; Wang, Xin; Zhou, Yangfan",2024,Proceedings of the 46th International Conference on Software Engineering: Software Engineering in Practice,String A,EXCLUDE,EC-O - Phát hiện tính không nhất quán dữ liệu qua giao diện Android,x,
85,AutoTestForge: A Multidimensional Automated Testing Framework for Natural Language Processing Models,"Xing, Hengrui; Tian, Cong; Zhao, Liang; Ma, Zhi; Wang, Wensheng; Zhang, Nan; Huang, Chao; Duan, Zhenhua",2025,ACM Transactions on Software Engineering and Methodology,String A,EXCLUDE,EC-O - Kiểm thử mô hình NLP không phải unit testing mã nguồn,x,
86,Automated Assessment in Computer Science Education: A State-of-the-Art Review,"Paiva, José Carlos; Leal, José Paulo; Figueira, Álvaro",2022,ACM Transactions on Computing Education,String B,EXCLUDE,EC-N - Bài tổng quan về đánh giá tự động trong giáo dục CNTT,x,
87,Automated Discovery of Test Oracles for Database Management Systems Using LLMs,"Mang, Qiuyang; He, Runyuan; Zhong, Suyang; Liu, Xiaoxuan; Zhang, Huanchen; Cheung, Alvin",2026,Proceedings of the ACM on Management of Data,"String A, String B, String C",EXCLUDE,"EC-O - Kiểm thử hệ quản trị cơ sở dữ liệu (DBMS), không phải unit test hàm",x,
88,Automated Fairness Testing with Representative Sampling,"Karakas, Umutcan; Tosun, Ayse",2023,Proceedings of the 19th International Conference on Predictive Models and Data Analytics in Software Engineering,String A,EXCLUDE,EC-O - Kiểm thử tính công bằng bằng phương pháp lấy mẫu,x,
89,Automated Generation and Compilation of Fuzz Driver Based on Large Language Models,"Sun, Yuxuan",2024,Proceedings of the 2024 9th International Conference on Cyber Security and Information Engineering,String A,EXCLUDE,EC-O - Sinh fuzz driver cho thư viện,x,
90,Automated Generation of Code Contracts: Generative AI to the Rescue?,"Greiner, Sandra; Bühlmann, Noah; Ohrndorf, Manuel; Tsigkanos, Christos; Nierstrasz, Oscar; Kehrer, Timo",2024,Proceedings of the 23rd ACM SIGPLAN International Conference on Generative Programming: Concepts and Experiences,String A,EXCLUDE,EC-O - Sinh đặc tả hợp đồng mã nguồn (pre/postconditions),x,
91,Automated Grading and Feedback Tools for Programming Education: A Systematic Review,"Messer, Marcus; Brown, Neil C. C.; Kölling, Michael; Shi, Miaojing",2024,ACM Transactions on Computing Education,String B,EXCLUDE,EC-N - Bài tổng quan về công cụ chấm điểm tự động trong giáo dục,x,
92,Automated Model-Based Fuzzing for 5G O-RAN,"Tan, Sixu; Li, Zeyu; Liu, Zhutian; Patel, Harsh; Tan, Zhaowei",2025,Proceedings of the 31st Annual International Conference on Mobile Computing and Networking,"String A, String B, String C",EXCLUDE,EC-O - Kiểm thử hệ thống 5G O-RAN,x,
93,Automated Program Repair via Conversation: Fixing 162 out of 337 Bugs for $0.42 Each using ChatGPT,"Xia, Chunqiu Steven; Zhang, Lingming",2024,Proceedings of the 33rd ACM SIGSOFT International Symposium on Software Testing and Analysis,String A,EXCLUDE,EC-O - Sửa lỗi chương trình tự động (APR),x,
94,Automated Prompt Engineering for Cost-Effective Code Generation Using Evolutionary Algorithms,"Taherkhani, Hamed; Sepidband, Melika; Pham, Hung Viet; Wang, Song; Hemmati, Hadi",2026,ACM Transactions on Software Engineering and Methodology,"String A, String B",EXCLUDE,EC-O - Tối ưu hóa prompt để sinh mã nguồn (Code Generation),x,
95,Automated Test Generation for Medical Rules Web Services: A Case Study at the Cancer Registry of Norway,"Laaber, Christoph; Yue, Tao; Ali, Shaukat; Schwitalla, Thomas; Nygård, Jan F.",2023,Proceedings of the 31st ACM Joint European Software Engineering Conference and Symposium on the Foundations of Software Engineering,"String A, String B",EXCLUDE,EC-O - Kiểm thử mức hệ thống cho dịch vụ web quy tắc y tế,x,
96,Automated Testing Linguistic Capabilities of NLP Models,"Lee, Jaeseong; Chen, Simin; Mordahl, Austin; Liu, Cong; Yang, Wei; Wei, Shiyi",2024,ACM Transactions on Software Engineering and Methodology,"String A, String B",EXCLUDE,EC-O - Kiểm thử năng lực ngôn ngữ của các mô hình NLP,x,
97,Automated Testing of COBOL to Java Transformation,"Hans, Sandeep; Kumar, Atul; Yasue, Toshiaki; Ono, Kouichi; Krishnan, Saravanan; Sondhi, Devika; Satoh, Fumiko; Mitchell, Gerald; Kumar, Sachin; Saha, Diptikalyan",2025,Proceedings of the 33rd ACM International Conference on the Foundations of Software Engineering,"String A, String B, String C",EXCLUDE,"EC-O - Kiểm thử tương đương dịch mã COBOL sang Java, không phải sinh unit test gốc",x,
98,Automated Unit Test Generation via Chain-of-Thought Prompt and Reinforcement Learning from Coverage Feedback,"Zhang, Junwei; Hu, Xing; Xia, Xin; Cheung, Shing-Chi; Li, Shanping",2026,ACM Transactions on Software Engineering and Methodology,"String A, String B, String C",INCLUDE,"IC-P, IC-I, IC-E (Dùng CoT prompt và RL từ phản hồi coverage để sinh unit test Java)",INCLUDE,"Đọc full-text, đủ IC-L, IC-T, IC-P, IC-I, IC-E"
99,Automated Unit Test Improvement using Large Language Models at Meta,"Alshahwan, Nadia; Chheda, Jubin; Finogenova, Anastasia; Gokkaya, Beliz; Harman, Mark; Harper, Inna; Marginean, Alexandru; Sengupta, Shubho; Wang, Eddy",2024,Companion Proceedings of the 32nd ACM International Conference on the Foundations of Software Engineering,String B,INCLUDE,"IC-P, IC-I, IC-E (Sinh và cải thiện unit test bằng LLM tại Meta)",INCLUDE,"Đọc full-text, đủ IC-L, IC-T, IC-P, IC-I, IC-E"
100,Automated Unit Test Refactoring,"Gao, Yi; Hu, Xing; Yang, Xiaohu; Xia, Xin",2025,Proceedings of the ACM on Software Engineering,"String A, String B, String C",EXCLUDE,"EC-O - Tái cấu trúc unit test (refactoring), không phải sinh unit test case cho hàm",x,
101,Automated Validation of COBOL to Java Transformation,"Kumar, Atul; Saha, Diptikalyan; Yasue, Toshiaki; Ono, Kohichi; Krishnan, Saravanan; Hans, Sandeep; Satoh, Fumiko; Mitchell, Gerald; Kumar, Sachin",2024,Proceedings of the 39th IEEE/ACM International Conference on Automated Software Engineering,"String A, String B, String C",EXCLUDE,"EC-O - Kiểm thử tương đương cho chuyển đổi COBOL-Java, không phải sinh unit test Java gốc bằng LLM",x,
102,Automatic Generation of Test Cases based on Bug Reports: a Feasibility Study with Large Language Models,"Plein, Laura; Ouédraogo, Wendkûuni C.; Klein, Jacques; Bissyandé, Tegawendé F.",2024,Proceedings of the 2024 IEEE/ACM 46th International Conference on Software Engineering: Companion Proceedings,String A,EXCLUDE,"EC-S - Bài báo ngắn 2 trang, không có abstract để đánh giá",x,
103,Automatic Library Migration Using Large Language Models: First Results,"Almeida, Aylton; Xavier, Laerte; Valente, Marco Tulio",2024,Proceedings of the 18th ACM/IEEE International Symposium on Empirical Software Engineering and Measurement,String A,EXCLUDE,EC-O - Di trú thư viện API,x,
104,Automatic Programming: Large Language Models and Beyond,"Lyu, Michael R.; Ray, Baishakhi; Roychoudhury, Abhik; Tan, Shin Hwei; Thongtanunam, Patanamon",2025,ACM Transactions on Software Engineering and Methodology,String A,EXCLUDE,"EC-N - Bài viết dạng định hướng/tổng hợp về lập trình tự động, không có thực nghiệm cụ thể về unit test",x,
105,Automatic Repair of Quantum Programs via Unitary Operation,"Li, Yuechen; Pei, Hanyu; Huang, Linzhi; Yin, Beibei; Cai, Kai-Yuan",2024,ACM Transactions on Software Engineering and Methodology,String B,EXCLUDE,EC-O - Sửa lỗi tự động cho lập trình lượng tử,x,
106,Automatic Semantic Augmentation of Language Model Prompts (for Code Summarization),"Ahmed, Toufique; Pai, Kunal Suresh; Devanbu, Premkumar; Barr, Earl",2024,Proceedings of the IEEE/ACM 46th International Conference on Software Engineering,String A,EXCLUDE,EC-O - Tóm tắt mã nguồn (Code summarization),x,
107,Automatic Test Case Generation for Jasper App HDL Compiler: An Industry Experience,"Crepalde, Mirlaine; Mafra, Augusto; Cavalini, Lucas; Martins, Lucas; Amorim, Guilherme; Santos, Pedro Henrique; Peixoto, Fabiano",2025,Proceedings of the 34th ACM SIGPLAN International Conference on Compiler Construction,String A,EXCLUDE,"EC-O - Kiểm thử trình biên dịch HDL và SystemVerilog, không thuộc phạm vi Java/Python unit testing",x,
108,Automatically Engineering Trusted Software: A Research Roadmap,"Brun, Yuriy; Chakraborty, Saikat; Le Goues, Claire; Păsăreanu, Corina; Singla, Adish",2026,ACM Transactions on Software Engineering and Methodology,"String A, String B",EXCLUDE,EC-N - Lộ trình nghiên cứu (Roadmap) về kỹ thuật phần mềm tin cậy.,x,
109,Automatically Inspecting Thousands of Static Bug Warnings with Large Language Model: How Far Are We?,"Wen, Cheng; Cai, Yuandao; Zhang, Bin; Su, Jie; Xu, Zhiwu; Liu, Dugang; Qin, Shengchao; Ming, Zhong; Cong, Tian",2024,ACM Transactions on Knowledge Discovery from Data,"String A, String B",EXCLUDE,EC-O - Kiểm tra cảnh báo lỗi từ công cụ phân tích tĩnh,x,
110,Automatically Learning a Precise Measurement for Fault Diagnosis Capability of Test Cases,"Zhao, Yifan; Sun, Zeyu; Wang, Guoqing; Liang, Qingyuan; Zhang, Yakun; Lou, Yiling; Hao, Dan; Zhang, Lu",2025,ACM Transactions on Software Engineering and Methodology,"String A, String B",EXCLUDE,EC-O - Đo lường khả năng chẩn đoán lỗi của test case,x,
111,Automatically Recommend Code Updates: Are We There Yet?,"Liu, Yue; Tantithamthavorn, Chakkrit; Liu, Yonghui; Thongtanunam, Patanamon; Li, Li",2024,ACM Transactions on Software Engineering and Methodology,String A,EXCLUDE,EC-O - Gợi ý cập nhật mã nguồn tự động,x,
112,Autonomous and Adaptive Systems,"Li, J.; Zhang, M.; Li, N.; Weyns, D.; Jin, Z.; Tei, K.; Di Nitto, E.; Gerostathopoulos, I.; Bellman, K.; Metzger, A.",2024,ACM Transactions on,String A,EXCLUDE,EC-N - Bài khảo sát và lộ trình cho hệ thống tự thích nghi (SAS),x,
113,B4: Towards Optimal Assessment of Plausible Code Solutions with Plausible Tests,"Chen, Mouxiang; Liu, Zhongxin; Tao, He; Hong, Yusu; Lo, David; Xia, Xin; Sun, Jianling",2024,Proceedings of the 39th IEEE/ACM International Conference on Automated Software Engineering,"String A, String B",EXCLUDE,"EC-O - Đánh giá và lựa chọn giải pháp mã nguồn, không phải sinh unit test",x,
114,Battling against Protocol Fuzzing: Protecting Networked Embedded Devices from Dynamic Fuzzers,"Liu, Puzhuo; Zheng, Yaowen; Sun, Chengnian; Li, Hong; Li, Zhi; Sun, Limin",2024,ACM Transactions on Software Engineering and Methodology,"String A, String B",EXCLUDE,EC-O - Kỹ thuật chống kiểm thử (anti-fuzzing) cho thiết bị nhúng,x,
115,Benchmarking Automated Program Repair: An Extensive Study on Both Real-World and Artificial Bugs,"Ouyang, Yicheng; Yang, Jun; Zhang, Lingming",2024,Proceedings of the 33rd ACM SIGSOFT International Symposium on Software Testing and Analysis,String B,EXCLUDE,EC-O - Đánh giá benchmark cho sửa lỗi chương trình (APR),x,
116,Benchmarking LLMs for Unit Test Generation from Real-World Functions,"Huang, Dong; Zhang, Jie M.; Harman, Mark; Zhang, Qianru; Du, Mingzhe; Ng, See-Kiong",2026,ACM Transactions on Software Engineering and Methodology,"String A, String B, String C",INCLUDE,"IC-P, IC-I, IC-E (Benchmark sinh unit test Python cho các hàm có độ phức tạp cao)",INCLUDE,"Đọc full-text, đủ IC-L, IC-T, IC-P, IC-I, IC-E"
117,Beyond Coverage: Automatic Test Suite Augmentation for Enhanced Effectiveness using Large Language Models,"Lu, Zeyu; Zhang, Peng; Nie, Yuge; Yang, Yibiao; Tang, Yutian; Chong, Chun Yong; Zhou, Yuming",2026,Proceedings of the ACM on Programming Languages,"String A, String B, String C",INCLUDE,"IC-P, IC-I, IC-E (Tăng cường unit test bằng LLM hướng mutation score)",INCLUDE,"Đọc full-text, đủ IC-L, IC-T, IC-P, IC-I, IC-E"
118,Beyond Functional Correctness: A Knowledge-Enhanced Iterative Framework for Generating Criteria-Compliant Code,"Zhang, Yating; Dong, Wei; Wang, Shangwen; Zhang, Jing; Zhang, Siyu; Liu, Jiaxin",2026,ACM Transactions on Software Engineering and Methodology,String A,EXCLUDE,EC-O - Sinh mã tuân thủ tiêu chuẩn MISRA C không tập trung vào unit test.,x,
119,Beyond Functional Correctness: Investigating Coding Style Inconsistencies in Large Language Models,"Wang, Yanlin; Jiang, Tianyue; Liu, Mingwei; Chen, Jiachi; Mao, Mingzhi; Liu, Xilin; Ma, Yuchi; Zheng, Zibin",2025,Proceedings of the ACM on Software Engineering,String A,EXCLUDE,EC-O - Nghiên cứu về phong cách lập trình (coding style),x,
120,Beyond Static Pattern Matching? Rethinking Automatic Cryptographic API Misuse Detection in the Era of LLMs,"Xia, Yifan; Xie, Zichen; Liu, Peiyu; Lu, Kangjie; Liu, Yan; Wang, Wenhai; Ji, Shouling",2025,Proceedings of the ACM on Software Engineering,"String A, String B",EXCLUDE,EC-O - Phát hiện sử dụng sai API mật mã học,x,
121,Beyond Words: On Large Language Models Actionability in Mission-Critical Risk Analysis,"Esposito, Matteo; Palagiano, Francesco; Lenarduzzi, Valentina; Taibi, Davide",2024,Proceedings of the 18th ACM/IEEE International Symposium on Empirical Software Engineering and Measurement,String A,EXCLUDE,EC-O - Phân tích rủi ro (Risk Analysis) không phải unit test.,x,
122,Beyond the Benefits: A Systematic Review of the Harms and Consequences of Generative AI in Computing Education,"Bernstein, Seth; Rahman, Ashfin; Sharifi, Nadia; Terbish, Ariunjargal; MacNeil, Stephen",2025,Proceedings of the 25th Koli Calling International Conference on Computing Education Research,String A,EXCLUDE,EC-N - Bài tổng quan hệ thống về tác hại của AI trong giáo dục,x,
123,Bias Testing and Mitigation in LLM-based Code Generation,"Huang, Dong; M. Zhang, Jie; Bu, Qingwen; Xie, Xiaofei; Chen, Junjie; Cui, Heming",2026,ACM Transactions on Software Engineering and Methodology,String A,EXCLUDE,EC-O - Kiểm thử định kiến (bias) trong sinh mã,x,
124,Blended Analysis for Predictive Execution,"Li, Yi; Dhulipala, Hridya; Yadavally, Aashish; Rong, Xiaokai; Wang, Shaohua; Nguyen, Tien N.",2025,Proceedings of the ACM on Software Engineering,String B,EXCLUDE,"EC-O - Dự đoán hành vi thực thi động (trace/coverage), không phải sinh test",x,
125,Blockchain Smart Contract Security: Threats and Mitigation Strategies in a Lifecycle Perspective,"Liu, Detian; Zhang, Jianbiao; Wang, Yifan; Shen, Hong; Zhang, Zhaoqian; Ye, Tao",2026,ACM Computing Surveys,String B,EXCLUDE,EC-N - Tổng quan về bảo mật Smart Contract theo vòng đời,x,
126,Booster: Effective and Efficient Web GUI Trace Reduction Based on Multi-Level State Abstraction and Time-Guided Hierarchical Delta Debugging,"Liu, Chenxu; Wang, Junheng; Song, Zihe; Yang, Wei; Zhang, Ying; Xie, Tao",2026,ACM Transactions on Software Engineering and Methodology,String B,EXCLUDE,EC-O - Rút gọn vết thực thi GUI Web,x,
